Testcase,Num,timestamp,End_detected,ASR_Result,TTS_Speak_directive,TTS_1st_data,TTS_1st_pcm_write,Dialog_Request_ID
4plus4,3,1672686330,4314,400,351,14,0,1d6d2a266b01ea2bab9127a2c8db90c3
4plus4,4,1672686340,4314,384,299,14,0,1d6d2a4d7b01ea2bab9127a23e6bc360
4plus4,5,1672686350,4314,394,289,14,0,1d6d2a748c01ea2bab9127a2abdcd978
4plus4,1,1672709522,4316,392,323,189,0,1d6e8c074801f6334a4165da92da54b9
4plus4,2,1672709532,4314,415,311,14,0,1d6e8c2e5601f6334a4165daea5bbe6d
4plus4,3,1672709542,4314,397,352,14,0,1d6e8c556701f6334a4165dacb429608
4plus4,4,1672709552,4314,387,346,14,0,1d6e8c7c7701f6334a4165dafabff53b
4plus4,5,1672709562,4314,410,292,15,0,1d6e8ca38701f6334a4165dad5260fd8
4plus4,1,1672729538,4318,343,335,14,1,1d6fbd7293011a1f245df308a627c495
4plus4,2,1672729548,4316,345,309,15,1,1d6fbd99a1011a1f245df3082b86fbf8
4plus4,3,1672729558,4315,339,302,15,0,1d6fbdc0b0011a1f245df30805c794ef
4plus4,4,1672729568,4320,329,308,14,0,1d6fbde7c0011a1f245df308e334ff94
4plus4,5,1672729578,4316,345,329,15,0,1d6fbe0ed1011a1f245df30868882527
4plus4,1,1672751375,4317,360,345,159,1,1d710aa97a016a199deb8b85f4260920
4plus4,2,1672751385,4315,370,287,15,0,1d710ad087016a199deb8b8546e70ee5
4plus4,3,1672751395,4314,373,332,15,0,1d710af797016a199deb8b85a419de75
4plus4,4,1672751405,4315,371,286,14,0,1d710b1ea7016a199deb8b85bfc2494b
4plus4,5,1672751415,4314,356,313,21,1,1d710b45b7016a199deb8b853e41b53f
4plus4,1,1672772817,4316,345,290,132,0,1d7251d5ab0167e7c08fdc09f1be58eb
4plus4,2,1672772827,4314,327,315,14,0,1d7251fcb80167e7c08fdc0932139058
4plus4,3,1672772837,4314,346,314,14,0,1d725223c80167e7c08fdc09d00a06d5
4plus4,4,1672772847,4314,342,346,15,0,1d72524ad80167e7c08fdc09b2bd051a
4plus4,5,1672772857,4313,331,323,14,0,1d725271e80167e7c08fdc09ec4108c5
4plus4,1,1672795964,4316,397,420,14,0,1d73b306f10120f4c0db6529d95659a9
4plus4,2,1672795974,4314,399,357,14,0,1d73b32dff0120f4c0db6529e84e863c
4plus4,3,1672795984,4313,387,313,13,0,1d73b3550f0120f4c0db65296fd16c33
4plus4,4,1672795994,4314,386,432,15,0,1d73b37c200120f4c0db652960eef3da
4plus4,5,1672796004,4314,383,288,15,0,1d73b3a32e0120f4c0db65293a13092d
4plus4,1,1672815943,4316,373,291,140,0,1d74e3e52601e24b13e8afdb5c13abec
4plus4,2,1672815953,4314,344,419,15,0,1d74e40c3401e24b13e8afdb9a62365c
4plus4,3,1672815963,4313,349,293,15,0,1d74e4334301e24b13e8afdbaa9ad19b
4plus4,4,1672815973,4314,348,354,14,0,1d74e45a5401e24b13e8afdbc9bbfa8d
4plus4,5,1672815983,4319,355,411,14,0,1d74e4816401e24b13e8afdb1304635f
4plus4,1,1672837789,4319,396,353,186,1,1d76313ae8017897bad924799ee24eac
4plus4,2,1672837799,4318,391,314,14,1,1d763161f6017897bad92479164feddb
4plus4,3,1672837809,4318,396,391,15,1,1d76318907017897bad9247962e53fbd
4plus4,4,1672837819,4318,380,440,9,1,1d7631b017017897bad924791e5141af
4plus4,5,1672837829,4316,394,293,16,1,1d7631d725017897bad924792ba2d43e
4plus4,1,1672859150,4319,330,345,12,1,1d77772d4001d664e471252c49881e06
4plus4,2,1672859160,4315,328,302,13,1,1d7777544c01d664e471252cfe846a65
4plus4,3,1672859170,4320,330,322,14,1,1d77777b5c01d664e471252c1c59fe8c
4plus4,4,1672859180,4315,336,340,15,1,1d7777a26c01d664e471252c3447aab6
4plus4,5,1672859190,4315,334,294,15,1,1d7777c97c01d664e471252c0bc2d0b1
4plus4,1,1672882374,4316,334,283,132,0,1d78d98b3a01d0ca51c146edef728a0f
4plus4,2,1672882384,4314,348,308,15,0,1d78d9b24701d0ca51c146ed83f4fae0
4plus4,3,1672882394,4314,330,275,15,0,1d78d9d95701d0ca51c146edef3f9985
4plus4,4,1672882404,4314,339,321,15,0,1d78da006801d0ca51c146ed727e6ca3
4plus4,5,1672882414,4314,349,266,15,0,1d78da277701d0ca51c146ed751c653c
4plus4,1,1672902350,4320,339,303,14,1,1d7a0a5b7d0133756fe01941f2a95ccc
4plus4,2,1672902360,4316,351,304,15,1,1d7a0a828a0133756fe01941d4fcf4fa
4plus4,3,1672902370,4314,345,365,15,0,1d7a0aa9980133756fe01941ae3d78c5
4plus4,4,1672902380,4317,343,315,14,1,1d7a0ad0aa0133756fe01941210923d5
4plus4,5,1672902390,4316,329,374,17,1,1d7a0af7ba0133756fe01941c66d03fb
4plus4,1,1672924191,4318,356,362,151,1,1d7b579d3a01c874d7e9368be6136a6d
4plus4,2,1672924201,4315,358,383,16,1,1d7b57c44701c874d7e9368b6bb7ba3a
4plus4,3,1672924211,4315,365,377,14,0,1d7b57eb5701c874d7e9368bd4b37a11
4plus4,4,1672924221,4314,355,381,14,0,1d7b58126801c874d7e9368b3cca3095
4plus4,5,1672924231,4314,365,339,14,1,1d7b58397701c874d7e9368b73376749
4plus4,1,1672945542,4318,359,394,13,0,1d7c9d696501bf977c4d8fefb4e29ec2
4plus4,2,1672945552,4314,354,362,16,0,1d7c9d907201bf977c4d8fef4d57c48c
4plus4,3,1672945562,4319,352,380,14,0,1d7c9db78201bf977c4d8fef94d663ee
4plus4,4,1672945572,4315,357,378,16,0,1d7c9dde9201bf977c4d8fef7d8bd07e
4plus4,5,1672945582,4314,361,318,15,0,1d7c9e05a201bf977c4d8fefda80dbc6
4plus4,1,1672968768,4316,397,348,187,0,1d7dffd14b01144bc6f190d472afb35d
4plus4,2,1672968778,4314,405,389,14,0,1d7dfff85901144bc6f190d4580b5b0a
4plus4,3,1672968788,4313,392,335,14,0,1d7e001f6a01144bc6f190d48d822cd2
4plus4,4,1672968798,4313,402,365,13,0,1d7e00467901144bc6f190d4fc72c75b
4plus4,5,1672968808,4314,406,338,14,0,1d7e006d8901144bc6f190d42cef4570
4plus4,1,1672988744,4317,372,357,14,0,1d7f30a10c01eb569664c4864d531bab
4plus4,2,1672988754,4314,382,324,15,0,1d7f30c81901eb569664c486b1cf6c08
4plus4,3,1672988764,4314,379,454,15,1,1d7f30ef2a01eb569664c48646971f92
4plus4,4,1672988774,4315,360,329,14,1,1d7f31163a01eb569664c486b461eb56
4plus4,5,1672988784,4314,377,575,14,0,1d7f313d4901eb569664c486d7cbb7f7
4plus4,1,1673010539,4318,407,364,184,1,1d807d319f01e12b5050ef44a8aeb195
4plus4,2,1673010549,4315,398,388,15,0,1d807d58ac01e12b5050ef44262ab9e2
4plus4,3,1673010559,4315,398,334,15,0,1d807d7fbc01e12b5050ef44e011c5b7
4plus4,4,1673010569,4315,398,352,14,0,1d807da6cc01e12b5050ef44636b8328
4plus4,5,1673010579,4314,393,395,15,0,1d807dcddd01e12b5050ef44e081badd
